Targets,Scenarios,Type of investment,Investment category,Year,Amount
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 5,38287.16
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 6,38287.16
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 7,38287.16
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 8,38287.16
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 9,38287.16
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 10,38287.16
Target B1,Scenario 2,Labor costs,Individual farmer costs,BAU,0
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 1,467.08
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 2,434.42
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 3,434.42
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 4,434.42
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 5,434.42
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 6,434.42
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 7,434.42
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 8,434.42
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 9,434.42
Target B1,Scenario 2,Labor costs,Individual farmer costs,Year 10,434.42
Target B1,Scenario 2,Input costs,Individual farmer costs,BAU,0
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 1,527.55
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 2,453.71
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 3,487.87
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 4,453.71
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 5,487.87
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 6,453.71
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 7,487.87
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 8,453.71
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 9,487.87
Target B1,Scenario 2,Input costs,Individual farmer costs,Year 10,453.71
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,BAU,0
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 1,994.63
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 2,888.12
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 3,922.29
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 4,888.12
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 5,922.29
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 6,888.12
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 7,922.29
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 8,888.12
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 9,922.29
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 10,888.12
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,62987.74
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,49831.11
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,49831.11
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,49831.11
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,49831.11
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,49831.11
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,49831.11
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,49831.11
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,49831.11
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,49831.11
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,BAU,0
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 1,13381.23
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 2,12043.11
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 3,12043.11
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 4,12043.11
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 5,12043.11
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 6,9366.86
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 7,9366.86
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 8,9366.86
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 9,9366.86
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 10,9366.86
Target B1,Scenario 3,Total institutional costs,Institutional costs,BAU,0
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 1,76368.97
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 2,61874.22
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 3,61874.22
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 4,61874.22
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 5,61874.22
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 6,59197.98
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 7,59197.98
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 8,59197.98
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 9,59197.98
Target B1,Scenario 3,Total institutional costs,Institutional costs,Year 10,59197.98
Target B1,Scenario 3,Labor costs,Individual farmer costs,BAU,0
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 1,476.98
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 2,423.89
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 3,423.89
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 4,423.89
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 5,423.89
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 6,423.89
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 7,423.89
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 8,423.89
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 9,423.89
Target B1,Scenario 3,Labor costs,Individual farmer costs,Year 10,423.89
Target B1,Scenario 3,Input costs,Individual farmer costs,BAU,0
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 1,627.66
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 2,451.8
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 3,451.8
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 4,451.8
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 5,451.8
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 6,448
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 7,448
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 8,448
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 9,448
Target B1,Scenario 3,Input costs,Individual farmer costs,Year 10,448
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,BAU,0
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 1,1104.63
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 2,875.7
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 3,875.7
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 4,875.7
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 5,875.7
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 6,871.89
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 7,871.89
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 8,871.89
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 9,871.89
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 10,871.89
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,55452.74
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,42808.2
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,42808.2
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,42808.2
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,42808.2
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,42808.2
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,42808.2
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,42808.2
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,42808.2
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,42808.2
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,BAU,0
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 1,10860.42
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 2,8940.41
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 3,8106.45
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 4,7272.49
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 5,7272.49
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 6,5934.37
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 7,5934.37
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 8,5934.37
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 9,5934.37
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 10,5934.37
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,BAU,0
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 1,66313.15
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 2,51748.61
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 3,50914.65
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 4,50080.69
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 5,50080.69
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 6,48742.57
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 7,48742.57
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 8,48742.57
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 9,48742.57
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 10,48742.57
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,BAU,0
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 1,472.03
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 2,429.16
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 3,429.16
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 4,429.16
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 5,429.16
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 6,429.16
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 7,429.16
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 8,429.16
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 9,429.16
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 10,429.16
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,BAU,0
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 1,577.61
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 2,452.76
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 3,469.84
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 4,452.76
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 5,469.84
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 6,450.85
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 7,467.93
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 8,450.85
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 9,467.93
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 10,450.85
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,BAU,0
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 1,1049.63
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 2,881.91
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 3,898.99
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 4,881.91
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 5,898.99
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 6,880.01
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 7,897.09
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 8,880.01
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 9,897.09
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 10,880.01
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,BAU,0
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 1,46.19
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 2,13.53
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 3,13.53
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 4,13.53
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 5,13.53
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 6,13.53
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 7,13.53
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 8,13.53
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 9,13.53
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 10,13.53
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,BAU,0
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 1,92.89
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 2,19.04
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 3,53.2
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 4,19.04
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 5,53.2
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 6,19.04
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 7,53.2
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 8,19.04
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 9,53.2
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,Year 10,19.04
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,BAU,0
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 1,139.08
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 2,32.57
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 3,66.73
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 4,32.57
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 5,66.73
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 6,32.57
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 7,66.73
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 8,32.57
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 9,66.73
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 10,32.57
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,BAU,0
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 1,56.09
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 2,3.01
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 3,3.01
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 4,3.01
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 5,3.01
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 6,3.01
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 7,3.01
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 8,3.01
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 9,3.01
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,Year 10,3.01
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,BAU,0
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 1,192.99
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 2,17.14
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 3,17.14
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 4,17.14
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 5,17.14
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 6,13.33
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 7,13.33
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 8,13.33
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 9,13.33
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,Year 10,13.33
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,BAU,0
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 1,249.08
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 2,20.14
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 3,20.14
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 4,20.14
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 5,20.14
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 6,16.33
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 7,16.33
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 8,16.33
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 9,16.33
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,Year 10,16.33
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,BAU,0
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 1,51.14
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 2,8.27
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 3,8.27
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 4,8.27
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 5,8.27
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 6,8.27
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 7,8.27
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 8,8.27
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 9,8.27
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,Year 10,8.27
Target B1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,BAU,0
Target B1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,Year 1,142.94
Target B1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,Year 2,18.09
Target B1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,Year 3,35.17
Target B1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,Year 4,18.09
Target B1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,Year 5,35.17
Target B1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,Year 6,16.18
