Targets,Scenarios,Type of investment,Investment category,Year,Amount
Target 1,BAU,Labor costs,Individual farmer costs,Year 1,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 2,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 3,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 4,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 5,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 6,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 7,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 8,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 9,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 10,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 20,286.37
Target 1,BAU,Labor costs,Individual farmer costs,Year 30,286.37
Target 1,BAU,Input costs,Individual farmer costs,BAU,0
Target 1,BAU,Input costs,Individual farmer costs,Year 1,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 2,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 3,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 4,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 5,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 6,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 7,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 8,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 9,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 10,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 20,537.31
Target 1,BAU,Input costs,Individual farmer costs,Year 30,537.31
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,BAU,0
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 1,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 2,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 3,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 4,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 5,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 6,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 7,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 8,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 9,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 10,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 20,823.68
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,Year 30,823.68
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,14550.81
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 20,7431.08
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 30,7431.08
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,BAU,0
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 1,26486.49
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 2,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 3,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 4,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 5,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 6,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 7,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 8,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 9,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 10,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 20,2648.65
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 30,2648.65
Target 1,Scenario 2,Total institutional costs,Institutional costs,BAU,0
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 1,41037.3
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 2,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 3,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 4,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 5,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 6,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 7,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 8,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 9,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 10,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 20,10079.73
Target 1,Scenario 2,Total institutional costs,Institutional costs,Year 30,10079.73
Target 1,Scenario 2,Labor costs,Individual farmer costs,BAU,0
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 1,624.21
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 2,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 3,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 4,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 5,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 6,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 7,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 8,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 9,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 10,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 20,407.99
Target 1,Scenario 2,Labor costs,Individual farmer costs,Year 30,407.99
Target 1,Scenario 2,Input costs,Individual farmer costs,BAU,0
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 1,790.82
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 2,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 3,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 4,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 5,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 6,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 7,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 8,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 9,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 10,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 20,645.42
Target 1,Scenario 2,Input costs,Individual farmer costs,Year 30,645.42
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,BAU,0
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 1,1415.03
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 2,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 3,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 4,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 5,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 6,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 7,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 8,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 9,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 10,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 20,1053.41
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,Year 30,1053.41
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,14550.81
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 20,7431.08
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,Year 30,7431.08
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,BAU,0
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 1,26486.49
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 2,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 3,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 4,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 5,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 6,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 7,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 8,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 9,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 10,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 20,2648.65
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,Year 30,2648.65
Target 1,Scenario 3,Total institutional costs,Institutional costs,BAU,0
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 1,41037.3
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 2,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 3,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 4,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 5,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 6,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 7,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 8,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 9,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 10,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 20,10079.73
Target 1,Scenario 3,Total institutional costs,Institutional costs,Year 30,10079.73
Target 1,Scenario 3,Labor costs,Individual farmer costs,BAU,0
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 1,624.21
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 2,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 3,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 4,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 5,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 6,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 7,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 8,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 9,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 10,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 20,407.99
Target 1,Scenario 3,Labor costs,Individual farmer costs,Year 30,407.99
Target 1,Scenario 3,Input costs,Individual farmer costs,BAU,0
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 1,737.31
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 2,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 3,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 4,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 5,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 6,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 7,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 8,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 9,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 10,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 20,645.42
Target 1,Scenario 3,Input costs,Individual farmer costs,Year 30,645.42
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,BAU,0
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 1,1361.52
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 2,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 3,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 4,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 5,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 6,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 7,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 8,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 9,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 10,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 20,1053.41
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,Year 30,1053.41
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,14550.81
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 20,7431.08
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,Year 30,7431.08
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,BAU,0
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 1,26486.49
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 2,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 3,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 4,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 5,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 6,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 7,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 8,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 9,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 10,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 20,2648.65
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,Year 30,2648.65
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,BAU,0
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 1,41037.3
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 2,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 3,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 4,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 5,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 6,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 7,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 8,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 9,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 10,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 20,10079.73
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,Year 30,10079.73
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,BAU,0
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 1,624.21
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 2,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 3,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 4,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 5,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 6,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 7,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 8,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 9,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 10,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 20,407.99
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,Year 30,407.99
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,BAU,0
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 1,764.06
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 2,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 3,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 4,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 5,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 6,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 7,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 8,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 9,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 10,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 20,645.42
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,Year 30,645.42
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,BAU,0
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 1,1388.27
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 2,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 3,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 4,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 5,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 6,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 7,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 8,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 9,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 10,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 20,1053.41
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,Year 30,1053.41
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,BAU,0
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 1,337.84
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 2,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 3,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 4,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 5,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 6,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 7,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 8,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 9,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 10,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 20,121.62
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,Year 30,121.62
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,BAU,0
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 1,253.51
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 2,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 3,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 4,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 5,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 6,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 7,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 8,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 9,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 10,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 20,108.11
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,Year 30,108.11
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,BAU,0
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 1,591.35
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 2,229.73
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 3,229.73
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 4,229.73
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 5,229.73
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 6,229.73
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 7,229.73
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 8,229.73
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 9,229.73
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,Year 10,229.73
