Targets,Scenarios,Type of investment,Investment category,BAU,Year 1,Year 2 ,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 20,Year 30
Target 1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,$0.00,$624.21,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99
Target 1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,$0.00,$764.06,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,$0.00,"$1,388.27","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41"
Target 1,Scenario 2,Incremental labor costs,Individual farmer costs,$0.00,$337.84,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62
Target 1,Scenario 2,Incremental input costs,Individual farmer costs,$0.00,$253.51,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11
Target 1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,$0.00,$591.35,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73
Target 1,Scenario 3,Incremental labor costs,Individual farmer costs,$0.00,$337.84,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62
Target 1,Scenario 3,Incremental input costs,Individual farmer costs,$0.00,$200.00,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11
Target 1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,$0.00,$537.84,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73
Target 1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,$0.00,$337.84,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62,$121.62
Target 1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,$0.00,$226.76,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11,$108.11
Target 1,Average (Scen2 & Scen3),Incremental total individual costs to farmer,Individual farmer costs,$0.00,$564.59,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73,$229.73
Target 1,Scenario 2,Labor costs percent increase,Individual farmer costs,$0.00,118.0,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
Target 1,Scenario 2,Input costs percent increase,Individual farmer costs,$0.00,47.2,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
Target 1,Scenario 2,Total individual costs to farmer percent increase,Individual farmer costs,$0.00,71.8,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9
Target 1,Scenario 3,Labor costs percent increase,Individual farmer costs,$0.00,118.0,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
Target 1,Scenario 3,Input costs percent increase,Individual farmer costs,$0.00,37.2,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
Target 1,Scenario 3,Total individual costs to farmer percent increase,Individual farmer costs,$0.00,65.3,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9
Target 1,Average (Scen2 & Scen3),Labor costs percent increase,Individual farmer costs,$0.00,118.0,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
Target 1,Average (Scen2 & Scen3),Input costs percent increase,Individual farmer costs,$0.00,42.2,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
Target 1,Average (Scen2 & Scen3),Total individual costs to farmer percent increase,Individual farmer costs,$0.00,68.5,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9
Target 1,BAU,Gross value of annual crops of USD,Individual farmer costs,$0.00,$675.68,$675.68,$675.68,$675.68,$675.68,$675.68,$675.68,$675.68,$675.68,$675.68,$675.68,$675.68
Target 1,BAU,Gross value of perrenial crops of USD,Individual farmer costs,$0.00,"$3,949.73","$3,949.73","$3,949.73","$3,949.73","$3,949.73","$3,949.73","$3,949.73","$3,949.73","$3,949.73","$3,949.73","$3,949.73","$3,949.73"
Target 1,BAU,Gross value of tree species USD,Individual farmer costs,$0.00,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22
Target 1,BAU,"Gross value		",Individual farmer costs,$0.00,"$4,641.62","$4,641.62","$4,641.62","$4,641.62","$4,641.62","$4,641.62","$4,641.62","$4,641.62","$4,641.62","$4,641.62","$4,641.62","$4,641.62"
Target 1,Scenario 2,Gross value of annual crops of USD,Individual farmer costs,$0.00,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16
Target 1,Scenario 2,Gross value of perrenial crops of USD,Individual farmer costs,$0.00,"$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51"
Target 1,Scenario 2,Gross value of tree species USD,Individual farmer costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$46,266.67","$46,266.67","$46,266.67"
Target 1,Scenario 2,"Gross value		",Individual farmer costs,$0.00,"$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$48,966.35","$48,966.35","$48,966.35"
Target 1,Scenario 3,Gross value of annual crops of USD,Individual farmer costs,$0.00,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16,$618.16
Target 1,Scenario 3,Gross value of perrenial crops of USD,Individual farmer costs,$0.00,"$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51","$2,081.51"
Target 1,Scenario 3,Gross value of tree species USD,Individual farmer costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,333.00","$37,333.00","$37,333.00"
Target 1,Scenario 3,"Gross value		",Individual farmer costs,$0.00,"$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$2,699.68","$40,032.68","$40,032.68","$40,032.68"
Target 1,BAU,Net values to farmers in USD/Ha,Individual farmer costs,$0.00,"$3,817.94","$3,817.94","$3,817.94","$3,817.94","$3,817.94","$3,817.94","$3,817.94","$3,817.94","$3,817.94","$3,817.94","$3,817.94","$3,817.94"
Target 1,BAU,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00,"$3,817.94","$3,470.86","$3,155.33","$2,868.48","$2,607.71","$2,370.64","$2,155.13","$1,959.21","$1,781.10","$1,619.18",$624.26,$240.68
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00,$2.17,$1.98,$1.80,$1.63,$1.48,$1.35,$1.23,$1.12,$1.01,$0.92,$0.36,$0.14
Target 1,Scenario 2,Net values to farmers in USD/Ha,Individual farmer costs,$0.00,"$1,284.65","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$47,912.94","$47,912.94","$47,912.94"
Target 1,Scenario 2,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00,"$1,284.65","$1,496.61","$1,360.55","$1,236.87","$1,124.42","$1,022.20",$929.28,$844.80,$768.00,"$20,319.76","$7,834.15","$3,020.40"
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00,$0.73,$0.85,$0.77,$0.70,$0.64,$0.58,$0.53,$0.48,$0.44,$11.57,$4.46,$1.72
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,$0.00,"$1,338.16","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$1,646.27","$38,979.27","$38,979.27","$38,979.27"
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00,"$1,338.16","$1,496.61","$1,360.55","$1,236.87","$1,124.42","$1,022.20",$929.28,$844.80,$768.00,"$16,531.02","$2,457.23","$2,233.85"
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00,$0.76,$0.85,$0.77,$0.70,$0.64,$0.58,$0.53,$0.48,$0.44,$9.41,$1.40,$1.27
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00,$823.68,$748.80,$680.72,$618.84,$562.58,$511.44,$464.94,$422.68,$384.25,$349.32,$134.68,$51.92
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00,"$4,641.62","$4,219.66","$3,836.05","$3,487.32","$3,170.29","$2,882.08","$2,620.07","$2,381.89","$2,165.35","$1,968.50",$758.94,$292.61
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00,"$3,817.94","$3,470.86","$3,155.33","$2,868.48","$2,607.71","$2,370.64","$2,155.13","$1,959.21","$1,781.10","$1,619.18",$624.26,$240.68
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00,"$1,415.03",$957.64,$870.58,$791.44,$719.49,$654.08,$594.62,$540.56,$491.42,$446.75,$172.24,$66.41
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00,"$2,699.68","$2,454.25","$2,231.14","$2,028.31","$1,843.91","$1,676.29","$1,523.90","$1,385.36","$1,259.42","$20,766.51","$8,006.39","$3,086.81"
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00,"$1,284.65","$1,496.61","$1,360.55","$1,236.87","$1,124.42","$1,022.20",$929.28,$844.80,$768.00,"$20,319.76","$7,834.15","$3,020.40"
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00,1.91,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,46.48,46.48,46.48
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00,"$1,361.52",$957.64,$870.58,$791.44,$719.49,$654.08,$594.62,$540.56,$491.42,$446.75,$172.24,$66.41
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00,"$2,699.68","$2,454.25","$2,231.14","$2,028.31","$1,843.91","$1,676.29","$1,523.90","$1,385.36","$1,259.42","$16,977.76","$6,545.66","$2,523.64"
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00,"$1,338.16","$1,496.61","$1,360.55","$1,236.87","$1,124.42","$1,022.20",$929.28,$844.80,$768.00,"$16,531.02","$6,373.42","$2,457.23"
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00,1.98,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,38.00,38.00,38.00
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Target 2,BAU,Costs for training and capacity building,Institutional costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Target 2,BAU,Total institutional costs,Institutional costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Target 2,BAU,Labor costs,Individual farmer costs,$0.00,$189.19,$189.19,$189.19,$189.19,$189.19,$189.19,$189.19,$189.19,$189.19,$189.19,$189.19,$189.19
Target 2,BAU,Input costs,Individual farmer costs,$0.00,$510.00,$510.00,$510.00,$510.00,$510.00,$510.00,$510.00,$510.00,$510.00,$510.00,$510.00,$510.00
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,$0.00,$699.19,$699.19,$699.19,$699.19,$699.19,$699.19,$699.19,$699.19,$699.19,$699.19,$699.19,$699.19
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00,"$14,334.59","$1,433.46","$1,433.46","$1,433.46","$1,433.46","$1,433.46","$1,433.46","$1,433.46","$1,433.46","$1,433.46","$1,433.46","$1,433.46"
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,$0.00,"$26,486.49","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65"
Target 2,Scenario 2,Total institutional costs,Institutional costs,$0.00,"$40,821.08","$4,082.11","$4,082.11","$4,082.11","$4,082.11","$4,082.11","$4,082.11","$4,082.11","$4,082.11","$4,082.11","$4,082.11","$4,082.11"
Target 2,Scenario 2,Labor costs,Individual farmer costs,$0.00,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51
Target 2,Scenario 2,Input costs,Individual farmer costs,$0.00,$757.03,$757.03,$757.03,$757.03,$757.03,$757.03,$757.03,$757.03,$757.03,$757.03,$757.03,$757.03
Target 2,Scenario 2,Total individual costs to farmer,Individual farmer costs,$0.00,"$1,270.54","$1,270.54","$1,270.54","$1,270.54","$1,270.54","$1,270.54","$1,270.54","$1,270.54","$1,270.54","$1,270.54","$1,270.54","$1,270.54"
Target 2,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00,"$14,358.92","$1,435.89","$1,435.89","$1,435.89","$1,435.89","$1,435.89","$1,435.89","$1,435.89","$1,435.89","$1,435.89","$1,435.89","$1,435.89"
Target 2,Scenario 3,Costs for training and capacity building,Institutional costs,$0.00,"$26,486.49","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65"
Target 2,Scenario 3,Total institutional costs,Institutional costs,$0.00,"$40,845.41","$4,084.54","$4,084.54","$4,084.54","$4,084.54","$4,084.54","$4,084.54","$4,084.54","$4,084.54","$4,084.54","$4,084.54","$4,084.54"
Target 2,Scenario 3,Labor costs,Individual farmer costs,$0.00,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51
Target 2,Scenario 3,Input costs,Individual farmer costs,$0.00,$740.89,$740.89,$740.89,$740.89,$740.89,$740.89,$740.89,$740.89,$740.89,$740.89,$740.89,$740.89
Target 2,Scenario 3,Total individual costs to farmer,Individual farmer costs,$0.00,"$1,254.41","$1,254.41","$1,254.41","$1,254.41","$1,254.41","$1,254.41","$1,254.41","$1,254.41","$1,254.41","$1,254.41","$1,254.41","$1,254.41"
Target 2,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,$0.00,"$14,346.76","$1,434.68","$1,434.68","$1,434.68","$1,434.68","$1,434.68","$1,434.68","$1,434.68","$1,434.68","$1,434.68","$1,434.68","$1,434.68"
Target 2,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,$0.00,"$26,486.49","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65"
Target 2,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,$0.00,"$40,833.24","$4,083.32","$4,083.32","$4,083.32","$4,083.32","$4,083.32","$4,083.32","$4,083.32","$4,083.32","$4,083.32","$4,083.32","$4,083.32"
Target 2,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,$0.00,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51,$513.51
Target 2,Average (Scen2 & Scen3),Input costs,Individual farmer costs,$0.00,$748.96,$748.96,$748.96,$748.96,$748.96,$748.96,$748.96,$748.96,$748.96,$748.96,$748.96,$748.96
Target 2,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,$0.00,"$1,262.47","$1,262.47","$1,262.47","$1,262.47","$1,262.47","$1,262.47","$1,262.47","$1,262.47","$1,262.47","$1,262.47","$1,262.47","$1,262.47"
Target 2,Scenario 2,Incremental labor costs,Individual farmer costs,$0.00,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32
Target 2,Scenario 2,Incremental input costs,Individual farmer costs,$0.00,$247.03,$247.03,$247.03,$247.03,$247.03,$247.03,$247.03,$247.03,$247.03,$247.03,$247.03,$247.03
Target 2,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,$0.00,$571.35,$571.35,$571.35,$571.35,$571.35,$571.35,$571.35,$571.35,$571.35,$571.35,$571.35,$571.35
Target 2,Scenario 3,Incremental labor costs,Individual farmer costs,$0.00,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32
Target 2,Scenario 3,Incremental input costs,Individual farmer costs,$0.00,$230.89,$230.89,$230.89,$230.89,$230.89,$230.89,$230.89,$230.89,$230.89,$230.89,$230.89,$230.89
Target 2,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,$0.00,$555.22,$555.22,$555.22,$555.22,$555.22,$555.22,$555.22,$555.22,$555.22,$555.22,$555.22,$555.22
Target 2,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,$0.00,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32,$324.32
Target 2,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,$0.00,$238.96,$238.96,$238.96,$238.96,$238.96,$238.96,$238.96,$238.96,$238.96,$238.96,$238.96,$238.96
Target 2,Average (Scen2 & Scen3),Incremental total individual costs to farmer,Individual farmer costs,$0.00,$563.28,$563.28,$563.28,$563.28,$563.28,$563.28,$563.28,$563.28,$563.28,$563.28,$563.28,$563.28
Target 2,Scenario 2,Labor costs percent increase,Individual farmer costs,$0.00,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4
Target 2,Scenario 2,Input costs percent increase,Individual farmer costs,$0.00,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4
Target 2,Scenario 2,Total individual costs to farmer percent increase,Individual farmer costs,$0.00,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7
Target 2,Scenario 3,Labor costs percent increase,Individual farmer costs,$0.00,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4
Target 2,Scenario 3,Input costs percent increase,Individual farmer costs,$0.00,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3
Target 2,Scenario 3,Total individual costs to farmer percent increase,Individual farmer costs,$0.00,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4
Target 2,Average (Scen2 & Scen3),Labor costs percent increase,Individual farmer costs,$0.00,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4,171.4
Target 2,Average (Scen2 & Scen3),Input costs percent increase,Individual farmer costs,$0.00,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9
Target 2,Average (Scen2 & Scen3),Total individual costs to farmer percent increase,Individual farmer costs,$0.00,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6
Target 2,BAU,Gross value of annual crops of USD,Individual farmer costs,$0.00,"$1,162.16","$1,162.16","$1,162.16","$1,162.16","$1,162.16","$1,162.16","$1,162.16","$1,162.16","$1,162.16","$1,162.16","$1,162.16","$1,162.16"
Target 2,BAU,Gross value of perrenial crops of USD,Individual farmer costs,$0.00,"$3,002.70","$3,002.70","$3,002.70","$3,002.70","$3,002.70","$3,002.70","$3,002.70","$3,002.70","$3,002.70","$3,002.70","$3,002.70","$3,002.70"
Target 2,BAU,Gross value of tree species USD,Individual farmer costs,$0.00,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22,$16.22
Target 2,BAU,"Gross value		",Individual farmer costs,$0.00,"$4,181.08","$4,181.08","$4,181.08","$4,181.08","$4,181.08","$4,181.08","$4,181.08","$4,181.08","$4,181.08","$4,181.08","$4,181.08","$4,181.08"
Target 2,Scenario 2,Gross value of annual crops of USD,Individual farmer costs,$0.00,"$1,104.65","$1,104.65","$1,104.65","$1,104.65","$1,104.65","$1,104.65","$1,104.65","$1,104.65","$1,104.65","$1,104.65","$1,104.65","$1,104.65"
Target 2,Scenario 2,Gross value of perrenial crops of USD,Individual farmer costs,$0.00,$751.35,$751.35,$751.35,$751.35,$751.35,$751.35,$751.35,$751.35,$751.35,$751.35,$751.35,$751.35
Target 2,Scenario 2,Gross value of tree species USD,Individual farmer costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$46,266.00","$46,266.00","$46,266.00"
Target 2,Scenario 2,"Gross value		",Individual farmer costs,$0.00,"$1,856.00","$1,856.00","$1,856.00","$1,856.00","$1,856.00","$1,856.00","$1,856.00","$1,856.00","$1,856.00","$48,122.00","$48,122.00","$48,122.00"
Target 2,Scenario 3,Gross value of annual crops of USD,Individual farmer costs,$0.00,"$1,157.58","$1,157.58","$1,157.58","$1,157.58","$1,157.58","$1,157.58","$1,157.58","$1,157.58","$1,157.58","$1,157.58","$1,157.58","$1,157.58"
Target 2,Scenario 3,Gross value of perrenial crops of USD,Individual farmer costs,$0.00,"$1,187.38","$1,187.38","$1,187.38","$1,187.38","$1,187.38","$1,187.38","$1,187.38","$1,187.38","$1,187.38","$1,187.38","$1,187.38","$1,187.38"
Target 2,Scenario 3,Gross value of tree species USD,Individual farmer costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,333.00","$37,333.00","$37,333.00"
Target 2,Scenario 3,"Gross value		",Individual farmer costs,$0.00,"$2,344.96","$2,344.96","$2,344.96","$2,344.96","$2,344.96","$2,344.96","$2,344.96","$2,344.96","$2,344.96","$39,677.96","$39,677.96","$39,677.96"
